七台河	1370800	18834	0.01373942223519113
三亚	602930	166	2.7532217670376327E-4
三明	6229087	5610	9.006135249034088E-4
三门峡	3287968	3690	0.001122273696094366
上海	167125158	414426	0.0024797343796677217
上饶	5272584	5225	9.90975203050345E-4
东莞	64145356	67272	0.0010487431077629377
东营	6197350	11358	0.0018327188233680524
中卫	895059	48	5.362774967907143E-5
中国其他	1476133	2903	0.00196662495859113
中山	39278328	75175	0.001913905296579834
临夏回族自治州	730832	222	3.0376338200845067E-4
临汾	5468489	3121	5.707243810858905E-4
临沂	21532934	53946	0.0025052786582636624
临沧	1591967	410	2.575430269597297E-4
丹东	3771308	55266	0.014654332130921155
丽水	6260735	14252	0.0022764100381185274
丽江	1118733	1225	0.0010949887059736327
乌兰察布	2127464	1267	5.955447424727281E-4
乌海	1061958	1291	0.0012156789628215052
乌鲁木齐	4465499	9063	0.0020295604141888734
乐山	7380827	80126	0.010855965056490282
九江	5137638	4735	9.21629745030693E-4
云浮	3164672	4344	0.0013726541012781103
亳州	4306676	4432	0.0010290999369351212
伊春	1835640	1538	8.378549170861389E-4
伊犁哈萨克自治州	1083511	1302	0.0012016490833964767
佛山	38850809	274011	0.007052903325642459
佳木斯	5812878	4204	7.232217844585762E-4
保定	19020861	24816	0.0013046728010892882
保山	1499819	396	2.640318598444212E-4
信阳	5075255	6299	0.0012411199043200784
克孜勒苏柯尔克孜自治州	93474	754	0.008066414190042151
克拉玛依	445655	842	0.0018893538723900776
六安	7403236	4337	5.858249014349941E-4
六盘水	18568056	56122	0.0030225027326500954
兰州	13384967	5250	3.922310753549112E-4
兴安盟	1456210	1528	0.0010492992082185948
其他	26075396	166107	0.006370258001067366
内江	4516514	2419	5.355900590588228E-4
凉山彝族自治州	18652305	9853	5.282457047533803E-4
包头	6905943	4209	6.094750564839588E-4
北京	203225269	1011409	0.0049767876060727466
北海	4493375	181967	0.04049673129885665
十堰	4102118	10299	0.002510654252266756
南京	77217228	43961	5.693159562785652E-4
南充	5099181	2093	4.104580716001256E-4
南宁	31304733	138874	0.004436198194055832
南平	5534809	8649	0.0015626555496314326
南昌	19574208	78381	0.004004299944089692
南通	16203233	57306	0.003536701595292742
南阳	8646025	12830	0.0014839189107133048
博尔塔拉蒙古自治州	245115	229	9.342553495298126E-4
厦门	30454551	45276	0.0014866743561578039
双鸭山	3729976	5035	0.0013498746372630815
台州	20680786	30817	0.001490127116058355
台湾	9887220	354277	0.03583181116633392
合肥	61202419	37337	6.100575861225355E-4
吉安	6142302	5781	9.411780794887649E-4
吉林	11950614	10101	8.452285380483379E-4
吐鲁番	192054	144	7.49789121809491E-4
吕梁	6351916	10999	0.0017316035035727802
吴忠	1381927	181	1.3097652770370648E-4
周口	6394285	11078	0.0017324845545670861
呼伦贝尔	4210073	4925	0.0011698134450400265
呼和浩特	8696172	26354	0.0030305288349862444
和田	176569	921	0.005216091159829868
咸宁	5748102	4898	8.521073564804522E-4
咸阳	8569210	3608	4.210423131187122E-4
哈密	502560	692	0.0013769500159184973
哈尔滨	26495436	17719	6.687566870007348E-4
唐山	13569543	14338	0.0010566310155028802
商丘	5345120	5717	0.0010695737420301134
商洛	1904624	21837	0.011465255084468115
喀什	1174336	2445	0.002082027630933566
嘉兴	36787660	36430	9.902777181261325E-4
嘉峪关	866599	225	2.596356561685393E-4
四平	5888234	7161	0.0012161541134404646
固原	792143	47	5.9332721490942925E-5
塔城	327379	64	1.9549207493455597E-4
大兴安岭	649708	371	5.710257531075498E-4
大同	5614532	5631	0.001002933102883731
大庆	7665122	4484	5.849874274669079E-4
大理	2102816	1058	5.031348439425989E-4
大连	19172148	17737	9.251441205231672E-4
天水	1741571	708	4.0652950697961783E-4
天津	85593099	83084	9.706857325028037E-4
太原	18077199	17843	9.870445083887166E-4
威海	7581646	7738	0.0010206226985538496
娄底	6039405	5122	8.480967909918278E-4
孝感	4669844	2734	5.854585292356661E-4
宁德	5680840	26206	0.004613050182719457
宁波	51648314	45682	8.844819213266091E-4
安庆	10110821	23591	0.0023332427702953103
安康	4151444	2030	4.889864827756318E-4
安阳	6669471	5386	8.075602997599059E-4
安顺	2182223	1501	6.878307120766301E-4
定西	1129112	680	6.022431787103494E-4
宜宾	4852636	27647	0.005697315850601611
宜昌	8775865	22989	0.002619570834328012
宜春	4554388	6810	0.0014952612733038994
宝鸡	4222083	3155	7.472614820693956E-4
宣城	4723363	3423	7.246955188495993E-4
宿州	8802212	2989	3.395737344203934E-4
宿迁	6861323	6270	9.138179327806023E-4
山南	30537	2	6.549431836788158E-5
岳阳	12554716	8382	6.676375634462779E-4
崇左	431596	1341	0.0031070723547020826
巢湖	4749748	750	1.5790311401783842E-4
巴中	2583942	2384	9.22621328187707E-4
巴彦淖尔	1733419	1035	5.970858747942649E-4
